id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
39746750,Effacer l'historique,2020-08-26,575,1569,110,813,88,146,293,504,823,1369,1271,422,65,23
483474,La Mélodie du bonheur,1965-03-10,712,2311,43,997,24,18,57,117,324,793,1536,1263,512,361
17313015,Seuls,2017-02-08,503,1516,137,716,125,256,501,848,1124,1187,646,226,50,42
21581643,Wonder,2017-11-17,695,2137,83,648,25,23,52,145,368,866,1654,1188,439,245
17359846,Godzilla vs Kong,2021-03-31,446,1299,152,708,199,402,810,1096,1080,842,409,104,29,38
8440827,Papa est en haut,2008-11-06,640,138,3,175,90,93,121,202,495,1065,1580,996,291,81
424955,Swimming Pool,2003-05-21,589,1247,46,456,44,97,193,404,909,1575,1251,439,82,24
361657,Exam,2010-01-08,601,1042,99,491,42,92,187,412,793,1491,1306,529,119,48
10872167,High-Rise,2016-03-18,551,5258,118,898,80,161,379,721,977,1185,893,469,126,34
12936900,Brooklyn,2015-11-06,641,3561,111,823,18,21,107,259,602,1391,1530,806,217,78
418502,Trois enterrements,2005-11-17,724,1955,62,644,12,20,43,76,223,724,1982,1514,363,77
453427,Les Tortues Ninja,1990-03-30,585,586,53,616,80,129,256,438,1009,1374,1127,425,121,77
8462805,Zulu,2013-05-26,673,1793,125,646,13,28,70,157,424,1215,1998,926,166,43
19456688,Pas un bruit,2016-04-08,590,728,68,624,54,113,213,461,840,1511,1309,409,95,35
364299,Ouvre les yeux,1997-12-19,749,4247,49,938,6,14,29,65,191,571,1566,1850,604,145
495532,Paranormal Activity 3,2011-10-21,449,343,92,496,392,481,678,848,914,836,582,231,52,32
21877502,Wonder Wheel,2017-12-01,603,3197,123,899,25,45,127,369,912,1528,1462,469,81,28
29455883,L'Heure de la sortie,2019-01-09,668,2918,113,973,26,44,93,209,426,1155,1835,958,245,56
472096,Stuart Little 2,2002-07-18,439,196,12,277,161,431,702,1145,1264,838,379,85,20,23
402382,Dead Snow,2009-01-09,533,1068,103,663,137,263,420,712,995,1317,809,286,76,35
20328163,Battle of the Sexes,2017-09-29,634,3167,83,812,17,31,75,203,606,1608,1764,590,120,45
429781,Braqueurs amateurs,2005-12-21,556,458,37,415,46,121,253,623,1232,1627,876,229,37,17
40539234,Nobody,2021-06-02,624,1792,129,778,35,38,139,316,643,1552,1626,563,115,34
417367,L'Enfant sauvage,1970-02-25,685,1830,30,712,7,14,33,129,359,1196,2060,947,233,84
475296,Extra-terrien,2007-06-29,752,1053,23,757,8,8,15,47,181,605,1625,1826,601,147
1057089,Les Dents de la Mer : 2e Partie,1978-06-16,535,450,53,499,86,174,395,718,1287,1340,741,240,51,33
464994,Ultimate Game,2009-09-03,475,555,92,400,211,405,654,904,1050,1044,554,192,38,15
439973,"Un éléphant, ça trompe énormément",1976-09-22,688,1528,36,735,9,18,39,119,341,1170,2073,989,218,93
423801,La Garçonnière,1960-06-15,802,3868,72,1180,12,9,16,22,87,299,1134,1989,1058,452
421995,RTT,2009-12-09,319,197,57,355,782,1078,1127,949,644,352,113,23,5,7
449573,Another Earth,2011-07-22,671,3038,119,727,27,30,99,235,453,1138,1733,931,338,96
17376733,Beauté cachée,2016-12-15,618,1759,70,515,34,71,145,336,717,1307,1400,719,245,111
13323970,La Tour 2 contrôle infernale,2016-02-10,433,1099,104,597,509,625,738,880,808,747,518,180,48,33
404469,Comme chiens et chats,2001-06-23,445,244,18,413,254,424,712,997,1197,941,410,112,18,25
479117,Body Double,1984-10-26,731,3409,90,1194,15,23,51,107,302,747,1635,1495,539,176
411958,Pas de printemps pour Marnie,1964-07-09,718,1987,69,1214,8,9,35,107,310,874,1832,1296,463,157
417339,Le Château de l'araignée,1957-01-15,797,3915,61,1271,15,5,13,25,107,308,1149,2044,1092,338
413043,Passages nuageux,2009-05-29,757,648,23,667,7,8,13,42,141,554,1708,1787,625,214
442651,Animal Kingdom,2010-06-03,699,3487,131,753,15,31,67,149,371,959,1790,1327,324,73
